TV ($),Radio ($),Newspaper ($),Sales (M$)
230100.0,37800.0,69200.0,22.1
44500.0,39300.0,45100.0,10.4
17200.0,45900.0,69300.0,12.0
151500.0,41300.0,58500.0,16.5
180800.0,10800.0,58400.0,17.9
8700.0,48900.0,75000.0,7.2
57500.0,32800.0,23500.0,11.8
120200.0,19600.0,11600.0,13.2
8600.0,2100.0,1000.0,4.8
199800.0,2600.0,21200.0,15.6
66100.0,5800.0,24200.0,12.6
214700.0,24000.0,4000.0,17.4
23800.0,35100.0,65900.0,9.2
97500.0,7600.0,7200.0,13.7
204100.0,32900.0,46000.0,19.0
195400.0,47700.0,52900.0,22.4
67800.0,36600.0,114000.0,12.5
281400.0,39600.0,55800.0,24.4
69200.0,20500.0,18300.0,11.3
147300.0,23900.0,19100.0,14.6
218400.0,27700.0,53400.0,18.0
237400.0,5100.0,23500.0,17.5
13200.0,15900.0,49600.0,5.6
228300.0,16900.0,26200.0,20.5
62300.0,12600.0,18300.0,9.7
262900.0,3500.0,19500.0,17.0
142900.0,29300.0,12600.0,15.0
240100.0,16700.0,22900.0,20.9
248800.0,27100.0,22900.0,18.9
70600.0,16000.0,40800.0,10.5
292900.0,28300.0,43200.0,21.4
112900.0,17400.0,38600.0,11.9
97200.0,1500.0,30000.0,13.2
265600.0,20000.0,300.0,17.4
95700.0,1400.0,7400.0,11.9
290700.0,4100.0,8500.0,17.8
266900.0,43800.0,5000.0,25.4
74700.0,49400.0,45700.0,14.7
43100.0,26700.0,35100.0,10.1
228000.0,37700.0,32000.0,21.5
202500.0,22300.0,31600.0,16.6
177000.0,33400.0,38700.0,17.1
293600.0,27700.0,1800.0,20.7
206900.0,8400.0,26400.0,17.9
25100.0,25700.0,43300.0,8.5
175100.0,22500.0,31500.0,16.1
89700.0,9900.0,35700.0,10.6
239900.0,41500.0,18500.0,23.2
227200.0,15800.0,49900.0,19.8
66900.0,11700.0,36800.0,9.7
199800.0,3100.0,34600.0,16.4
100400.0,9600.0,3600.0,10.7
216400.0,41700.0,39600.0,22.6
182600.0,46200.0,58700.0,21.2
262700.0,28800.0,15900.0,20.2
198900.0,49400.0,60000.0,23.7
7300.0,28100.0,41400.0,5.5
136200.0,19200.0,16600.0,13.2
210800.0,49600.0,37700.0,23.8
210700.0,29500.0,9300.0,18.4
53500.0,2000.0,21400.0,8.1
261300.0,42700.0,54700.0,24.2
239300.0,15500.0,27300.0,20.7
102700.0,29600.0,8400.0,14.0
131100.0,42800.0,28900.0,16.0
69000.0,9300.0,900.0,11.3
31500.0,24600.0,2200.0,11.0
139300.0,14500.0,10200.0,13.4
237400.0,27500.0,11000.0,18.9
216800.0,43900.0,27200.0,22.3
199100.0,30600.0,38700.0,18.3
109800.0,14300.0,31700.0,12.4
26800.0,33000.0,19300.0,8.8
129400.0,5700.0,31300.0,11.0
213400.0,24600.0,13100.0,17.0
16900.0,43700.0,89400.0,8.7
27500.0,1600.0,20700.0,6.9
120500.0,28500.0,14200.0,14.2
5400.0,29900.0,9400.0,5.3
116000.0,7700.0,23100.0,11.0
76400.0,26700.0,22300.0,11.8
239800.0,4100.0,36900.0,17.3
75300.0,20300.0,32500.0,11.3
68400.0,44500.0,35600.0,13.6
213500.0,43000.0,33800.0,21.7
193200.0,18400.0,65700.0,20.2
76300.0,27500.0,16000.0,12.0
110700.0,40600.0,63200.0,16.0
88300.0,25500.0,73400.0,12.9
109800.0,47800.0,51400.0,16.7
134300.0,4900.0,9300.0,14.0
28600.0,1500.0,33000.0,7.3
217700.0,33500.0,59000.0,19.4
250900.0,36500.0,72300.0,22.2
107400.0,14000.0,10900.0,11.5
163300.0,31600.0,52900.0,16.9
197600.0,3500.0,5900.0,16.7
184900.0,21000.0,22000.0,20.5
289700.0,42300.0,51200.0,25.4
135200.0,41700.0,45900.0,17.2
222400.0,4300.0,49800.0,16.7
296400.0,36300.0,100900.0,23.8
280200.0,10100.0,21400.0,19.8
187900.0,17200.0,17900.0,19.7
238200.0,34300.0,5300.0,20.7
137900.0,46400.0,59000.0,15.0
25000.0,11000.0,29700.0,7.2
90400.0,300.0,23200.0,12.0
13100.0,400.0,25600.0,5.3
255400.0,26900.0,5500.0,19.8
225800.0,8200.0,56500.0,18.4
241700.0,38000.0,23200.0,21.8
175700.0,15400.0,2400.0,17.1
209600.0,20600.0,10700.0,20.9
78200.0,46800.0,34500.0,14.6
75100.0,35000.0,52700.0,12.6
139200.0,14300.0,25600.0,12.2
76400.0,800.0,14800.0,9.4
125700.0,36900.0,79200.0,15.9
19400.0,16000.0,22300.0,6.6
141300.0,26800.0,46200.0,15.5
18800.0,21700.0,50400.0,7.0
224000.0,2400.0,15600.0,16.6
123100.0,34600.0,12400.0,15.2
229500.0,32299.999999999996,74200.0,19.7
87200.0,11800.0,25900.0,10.6
7800.0,38900.0,50600.0,6.6
80200.0,0.0,9200.0,11.9
220300.0,49000.0,3200.0,24.7
59600.0,12000.0,43100.0,9.7
700.0,39600.0,8700.0,1.6
265200.0,2900.0,43000.0,17.7
8400.0,27200.0,2100.0,5.7
219800.0,33500.0,45100.0,19.6
36900.0,38600.0,65600.0,10.8
48300.0,47000.0,8500.0,11.6
25600.0,39000.0,9300.0,9.5
273700.0,28900.0,59700.0,20.8
43000.0,25900.0,20500.0,9.6
184900.0,43900.0,1700.0,20.7
73400.0,17000.0,12900.0,10.9
193700.0,35400.0,75600.0,19.2
220500.0,33200.0,37900.0,20.1
104600.0,5700.0,34400.0,10.4
96200.0,14800.0,38900.0,12.3
140300.0,1900.0,9000.0,10.3
240100.0,7300.0,8700.0,18.2
243200.0,49000.0,44300.0,25.4
38000.0,40300.0,11900.0,10.9
44700.0,25800.0,20600.0,10.1
280700.0,13900.0,37000.0,16.1
121000.0,8400.0,48700.0,11.6
197600.0,23300.0,14200.0,16.6
171300.0,39700.0,37700.0,16.0
187800.0,21100.0,9500.0,20.6
4100.0,11600.0,5700.0,3.2
93900.0,43500.0,50500.0,15.3
149800.0,1300.0,24300.0,10.1
11700.0,36900.0,45200.0,7.3
131700.0,18400.0,34600.0,12.9
172500.0,18100.0,30700.0,16.4
85700.0,35800.0,49300.0,13.3
188400.0,18100.0,25600.0,19.9
163500.0,36800.0,7400.0,18.0
117200.0,14700.0,5400.0,11.9
234500.0,3400.0,84800.0,16.9
17900.0,37600.0,21600.0,8.0
206800.0,5200.0,19400.0,17.2
215400.0,23600.0,57600.0,17.1
284300.0,10600.0,6400.0,20.0
50000.0,11600.0,18400.0,8.4
164500.0,20900.0,47400.0,17.5
19600.0,20100.0,17000.0,7.6
168400.0,7100.0,12800.0,16.7
222400.0,3400.0,13100.0,16.5
276900.0,48900.0,41800.0,27.0
248400.0,30200.0,20300.0,20.2
170200.0,7800.0,35200.0,16.7
276700.0,2300.0,23700.0,16.8
165600.0,10000.0,17600.0,17.6
156600.0,2600.0,8300.0,15.5
218500.0,5400.0,27400.0,17.2
56200.0,5700.0,29700.0,8.7
287600.0,43000.0,71800.0,26.2
253800.0,21300.0,30000.0,17.6
205000.0,45100.0,19600.0,22.6
139500.0,2100.0,26600.0,10.3
191100.0,28700.0,18200.0,17.3
286000.0,13900.0,3700.0,20.9
18700.0,12100.0,23400.0,6.7
39500.0,41100.0,5800.0,10.8
75500.0,10800.0,6000.0,11.9
17200.0,4100.0,31600.0,5.9
166800.0,42000.0,3600.0,19.6
149700.0,35600.0,6000.0,17.3
38200.0,3700.0,13800.0,7.6
94200.0,4900.0,8100.0,14.0
177000.0,9300.0,6400.0,14.8
283600.0,42000.0,66200.0,25.5
232100.0,8600.0,8700.0,18.4
